# H_HI_1, H_HI_2, H_HI3
1.112270758888728136e-30,9.820455479743403547e-33,9.820455479743402726e-32
1.912319619402906394e-30,1.325089409815502825e-32,1.325089409815504084e-31
2.910917516530435571e-30,1.696895150776014658e-32,1.696895150776015041e-31
4.081304668284915777e-30,2.090704620603359707e-32,2.090704620603359707e-31
5.392606332742254856e-30,2.501845993950238360e-32,2.501845993950238579e-31
6.812084733513617391e-30,2.927176070461420698e-32,2.927176070461419166e-31
8.305688270807385055e-30,3.364561373178793931e-32,3.364561373178794149e-31
9.837756162193081220e-30,3.812496183785067007e-32,3.812496183785067226e-31
1.137046318097732623e-29,4.269852873952708425e-32,4.269852873952705031e-31
1.286340205028098950e-29,4.735729708435028472e-32,4.735729708435029348e-31
1.427361242362492065e-29,5.209362088605152950e-32,5.209362088605151417e-31
1.555632357333258708e-29,5.690072333204757444e-32,5.690072333204756349e-31
1.666662412335969503e-29,6.177241884914128655e-32,6.177241884914120116e-31
1.756215425801260828e-29,6.670296178575904208e-32,6.670296178575909901e-31
1.820669953830441686e-29,7.168696478345209692e-32,7.168696478345217136e-31
1.857425704984905150e-29,7.671935448957118186e-32,7.671935448957121251e-31
1.865281770092330059e-29,8.179534659889444182e-32,8.179534659889449437e-31
1.844690782282761271e-29,8.691043039681409879e-32,8.691043039681413820e-31
1.797802266763079639e-29,9.206035757912242628e-32,9.206035757912229709e-31
1.728253810643736634e-29,9.724113267635398306e-32,9.724113267635405750e-31
1.640738951765068768e-29,1.024490038042943291e-31,1.024490038042943379e-30
1.540446733099960905e-29,1.076804532059841352e-31,1.076804532059840739e-30
1.432499127345479068e-29,1.129321874332597669e-31,1.129321874332598020e-30
1.321496896975948172e-29,1.182011272004914477e-31,1.182011272004913645e-30
1.211235052020548124e-29,1.234843970212248737e-31,1.234843970212249044e-30
1.104592840668292473e-29,1.287793147608672278e-31,1.287793147608672541e-30
1.003562806624288814e-29,1.340833812336074789e-31,1.340833812336076366e-30
9.093670761371357867e-30,1.393942699547226831e-31,1.393942699547226963e-30
8.226122072936312613e-30,1.447098171384189474e-31,1.447098171384189912e-30
7.434470735703439431e-30,1.500280120104822825e-31,1.500280120104821774e-30
6.717030751098405539e-30,1.553469874861629898e-31,1.553469874861630774e-30
6.070079094294523255e-30,1.606650112476011349e-31,1.606650112476012312e-30
5.488718859525021174e-30,1.659804772417921334e-31,1.659804772417921640e-30
4.967498596259267436e-30,1.712918976094302898e-31,1.712918976094302154e-30
4.500834187468672139e-30,1.765978950465857776e-31,1.765978950465856987e-30
4.083280584177179195e-30,1.818971955947531950e-31,1.818971955947533089e-30
3.709694731717451149e-30,1.871886218499906359e-31,1.871886218499905571e-30
3.375322777818365905e-30,1.924710865783696935e-31,1.924710865783695621e-30
3.075836575045277269e-30,1.977435867224960091e-31,1.977435867224960004e-30
2.807337611343551413e-30,2.030051977822348177e-31,2.030051977822347564e-30
2.566341085463984518e-30,2.082550685517922975e-31,2.082550685517923238e-30
2.349748788612376418e-30,2.134924161948370096e-31,2.134924161948369570e-30
2.154816524735694919e-30,2.187165216392343081e-31,2.187165216392342293e-30
1.979119744274886773e-30,2.239267252731788553e-31,2.239267252731788377e-30
1.820519653896059102e-30,2.291224229248997178e-31,2.291224229248997879e-30
1.677131115813265731e-30,2.343030621086800473e-31,2.343030621086800736e-30
1.547293026624198562e-30,2.394681385205920875e-31,2.394681385205920175e-30
1.429541465851262751e-30,2.446171927680844610e-31,2.446171927680843822e-30
1.322585656350126427e-30,2.497498073183277782e-31,2.497498073183277957e-30
1.225286631825136835e-30,2.548656036510186269e-31,2.548656036510184168e-30
1.136638425999501544e-30,2.599642396021395975e-31,2.599642396021396939e-30
1.055751559800044858e-30,2.650454068859565906e-31,2.650454068859565730e-30
9.818385912850798955e-31,2.701088287832965652e-31,2.701088287832965740e-30
9.142014973867173853e-31,2.751542579849008141e-31,2.751542579849008316e-30
8.522206699302165676e-31,2.801814745793550613e-31,2.801814745793551576e-30
7.953453263778655723e-31,2.851902841757767410e-31,2.851902841757767585e-30
7.430851555219717195e-31,2.901805161520886154e-31,2.901805161520888957e-30
6.950030382141661840e-31,2.951520220203231032e-31,2.951520220203230944e-30
6.507087021773259851e-31,3.001046739009660648e-31,3.001046739009662312e-30
6.098531874750891987e-31,3.050383630989108851e-31,3.050383630989111128e-30
5.721240150784142227e-31,3.099529987740833603e-31,3.099529987740831939e-30
5.372409651151503191e-31,3.148485067002860308e-31,3.148485067002858644e-30
5.049523838698618650e-31,3.197248281062574830e-31,3.197248281062576056e-30
4.750319495286924250e-31,3.245819185933518923e-31,3.245819185933519011e-30
4.472758361774223867e-31,3.294197471246392893e-31,3.294197471246390879e-30
4.215002238092252085e-31,3.342382950805840560e-31,3.342382950805843538e-30
3.975391092289815647e-31,3.390375553768053231e-31,3.390375553768054632e-30
3.752423788921396780e-31,3.438175316397219413e-31,3.438175316397218012e-30
3.544741100150781060e-31,3.485782374361938180e-31,3.485782374361935552e-30
3.351110708548507611e-31,3.533196955535314817e-31,3.533196955535316219e-30
3.170413949802214373e-31,3.580419373265044972e-31,3.580419373265042607e-30
3.001634077315970632e-31,3.627450020082024638e-31,3.627450020082024988e-30
2.843845859720564477e-31,3.674289361818431386e-31,3.674289361818429985e-30
2.696206347318557435e-31,3.720937932107952815e-31,3.720937932107951939e-30
2.557946665021759605e-31,3.767396327242993599e-31,3.767396327242992898e-30
2.428364707898949655e-31,3.813665201365198892e-31,3.813665201365200994e-30
2.306818631462411111e-31,3.859745261967461860e-31,3.859745261967462123e-30
2.192721042646581865e-31,3.905637265686927035e-31,3.905637265686922393e-30
2.085533809381129866e-31,3.951342014369968630e-31,3.951342014369966178e-30
1.984763417000067413e-31,3.996860351391486567e-31,3.996860351391485692e-30
1.889956808684833034e-31,4.042193158211864916e-31,4.042193158211864040e-30
1.800697654906727560e-31,4.087341351156343111e-31,4.087341351156340133e-30
1.716603003578584275e-31,4.132305878402299132e-31,4.132305878402298957e-30
1.637320268488894115e-31,4.177087717161189252e-31,4.177087717161188902e-30
1.562524518695232633e-31,4.221687871042500682e-31,4.221687871042501383e-30
1.491916036001669364e-31,4.266107367588229108e-31,4.266107367588228932e-30
1.425218111526045870e-31,4.310347255966822235e-31,4.310347255966820484e-30
1.362175055753985980e-31,4.354408604816591968e-31,4.354408604816592143e-30
1.302550399442800071e-31,4.398292500229027836e-31,4.398292500229023982e-30
1.246125265336650125e-31,4.442000043863106438e-31,4.442000043863106263e-30
1.192696892932761811e-31,4.485532351182517530e-31,4.485532351182515077e-30
1.142077300539070644e-31,4.528890549807772936e-31,4.528890549807770834e-30
1.094092070622402663e-31,4.572075777976277630e-31,4.572075777976278505e-30
1.048579245994290506e-31,4.615089183103392392e-31,4.615089183103392392e-30
1.005388325745681029e-31,4.657931920438239136e-31,4.657931920438235282e-30
9.643793510453056704e-32,4.700605151808376577e-31,4.700605151808376052e-30
9.254220719796388540e-32,4.743110044447755076e-31,4.743110044447757003e-30
8.883951875524825566e-32,4.785447769902788612e-31,4.785447769902788437e-30
8.531856517946076157e-32,4.827619503011733061e-31,4.827619503011728331e-30
8.196880396716215212e-32,4.869626420952756994e-31,4.869626420952757169e-30
