# SFRs, SFR1s, SFR2s
2.465099383757250046e-02,3.041977376380083226e-02,3.802914606930863500e-02
2.791439778983299119e-02,3.468716321055433094e-02,4.367235406285853438e-02
3.145620968863375305e-02,3.939460305664672229e-02,5.000440395970220248e-02
3.501854769013219154e-02,4.423456681641693700e-02,5.666390697443673963e-02
3.835877321723926009e-02,4.891082102930724429e-02,6.329407911988216284e-02
4.127430050177009757e-02,5.316767681927644235e-02,6.957659364990170792e-02
4.361556526643004666e-02,5.680614309861981015e-02,7.525116634308272323e-02
4.528914742710438840e-02,5.968917695074302254e-02,8.012329291241002127e-02
4.625417815256560594e-02,6.173939364752285830e-02,8.406372011468929428e-02
4.651484142840923292e-02,6.293223659025637406e-02,8.700281385964156455e-02
4.611106598959750086e-02,6.328684470318740596e-02,8.892217098402739606e-02
4.510885157025537606e-02,6.285616968856544418e-02,8.984510247335221467e-02
4.359116496104928351e-02,6.171736776346117143e-02,8.982707125155021954e-02
4.164995846946013824e-02,5.996309611698358993e-02,8.894676614338327403e-02
3.937958136434789591e-02,5.769405406573840239e-02,8.729820058275150618e-02
3.687165448922485878e-02,5.501290097239796423e-02,8.498401522780672790e-02
3.421134363002874962e-02,5.201954056649719937e-02,8.211001948038244846e-02
3.147488453568270117e-02,4.880767026343402898e-02,7.878091329327412129e-02
2.872816935801819280e-02,4.546244224370372955e-02,7.509707529965092832e-02
2.602618992533344000e-02,4.205905998847742772e-02,7.115227589945460895e-02
2.341313861739439950e-02,3.866213095244069864e-02,6.703216599978405188e-02
2.092298534598528367e-02,3.532560607784390044e-02,6.281339687649749315e-02
1.858037362376068272e-02,3.209315450986469087e-02,5.856323894739901004e-02
1.640170580107161782e-02,2.899884319046486941e-02,5.433958337134828231e-02
1.439631443048858608e-02,2.606801322266295157e-02,5.019122772966877477e-02
1.256764158520456628e-02,2.331826621495114785e-02,4.615836394900771356e-02
1.091436980817879487e-02,2.076049317988706150e-02,4.227320212632416918e-02
9.431466778058479952e-03,1.839989544944160837e-02,3.856067754961375188e-02
8.111120713805229643e-03,1.623696132591835595e-02,3.503919983568332813e-02
6.943555220170181258e-03,1.426837388839240564e-02,3.172141279644700995e-02
5.917721059015233591e-03,1.248783473369099659e-02,2.861494157777975944e-02
5.021868638288401812e-03,1.088679572780651243e-02,2.572311001904366290e-02
4.244009273131148750e-03,9.455096379065306561e-03,2.304561629490036595e-02
3.572275901634374123e-03,8.181508511528172781e-03,2.057915894714160837e-02
2.995195299620019742e-03,7.054192785535696314e-03,1.831800858987715774e-02
2.501884253263918743e-03,6.061073520439014956e-03,1.625452304307679549e-02
2.082181882460199755e-03,5.190139427486066374e-03,1.437960555415596781e-02
1.726729579093392360e-03,4.429678431430993622e-03,1.268310721555471025e-02
1.427009005331294350e-03,3.768454891073491544e-03,1.115417576638289346e-02
1.175347420757073260e-03,3.195837338934145924e-03,9.781553748447633853e-03
9.648983731991717105e-04,2.701884443490883657e-03,8.553829527515200565e-03
7.896045683138427744e-04,2.277396329617427644e-03,7.459645034774708278e-03
6.441485766736050134e-04,1.913937733828594131e-03,6.487864268208493046e-03
5.238959758712173013e-04,1.603838767031827602e-03,5.627706649690688082e-03
4.248345767726784106e-04,1.340178344014835961e-03,4.868849287040404213e-03
3.435125550152807235e-04,1.116754642041755015e-03,4.201502063058771066e-03
2.769776011008953783e-04,9.280462893926783030e-04,3.616459284772206937e-03
2.227186097010059142e-04,7.691673711096362566e-04,3.105131392062258650e-03
1.786109423739000240e-04,6.358187813940097350e-04,2.659559959664519867e-03
1.428659070996032984e-04,5.242379539815738470e-04,2.272418942185400019e-03
1.139847912390133807e-04,4.311485643750871503e-04,1.937004818453347179e-03
9.071754995328234182e-05,3.537114197724666666e-04,1.647217997603542391e-03
7.202607842502654152e-05,2.894774309953483584e-04,1.397537561610520803e-03
5.705187283638454214e-05,2.363432916855655362e-04,1.182991142906146759e-03
4.508780241995242089e-05,1.925102687823505008e-04,9.991214753148390873e-04
3.555366456711057390e-05,1.564463297417522400e-04,8.419509147078570394e-04
2.797516966260576123e-05,1.268516909291101313e-04,7.079450044121058522e-04
2.196599584124626117e-05,1.026277630196532572e-04,5.939759605249934774e-04
1.721256110654403434e-05,8.284938823783435664e-05,4.972867741775810870e-04
1.346117703874773009e-05,6.674020635276206820e-05,4.154564711506891295e-04
1.050727132158922387e-05,5.365094743166629276e-05,3.463669333136884022e-04
8.186392935177392818e-06,4.304042578186590892e-05,2.881715699985226546e-04
6.366742119746277072e-06,3.445899807954974750e-05,2.392660292645543715e-04
4.942995651261199065e-06,2.753424662635141205e-05,1.982610575109463138e-04
3.831225547157105424e-06,2.195865364624111229e-05,1.639575494194234792e-04
2.964735338551911250e-06,1.747904257742089791e-05,1.353237771011523533e-04
2.290662068699200694e-06,1.388757581989650420e-05,1.114747459382313871e-04
1.767213973410875108e-06,1.101411407481788501e-05,9.165359337524226380e-05
1.361433285732004325e-06,8.719759235018766406e-06,7.521492434117078613e-05
1.047390810897618427e-06,6.891419970098012738e-06,6.160996168839088074e-05
8.047339398348322600e-07,5.437256104322637841e-06,5.037338076730482573e-05
6.175227595741411557e-07,4.282874186217676734e-06,4.111169288539844355e-05
4.733000539790328843e-07,3.368162003549936689e-06,3.349304193074913503e-05
3.623504577262731827e-07,2.644664022429286036e-06,2.723828100273690349e-05
2.771120214245567858e-07,2.073412724541768537e-06,2.211320073888881562e-05
2.117101508516952509e-07,1.623142546670654362e-06,1.792178752241159145e-05
1.615894719464960490e-07,1.268823604207785969e-06,1.450039737063240803e-05
1.232238045490032360e-07,9.904616522313838845e-07,1.171273960543000823e-05
9.388824529565996247e-08,7.721188742223431308e-07,9.445573042032693009e-06
7.148049071378316967e-08,6.011171745357651652e-07,7.605026125296225883e-06
5.438108677193870199e-08,4.673917791042411681e-07,6.113460979432622087e-06
4.134436733061166066e-08,3.629682149861525570e-07,4.906809559159120881e-06
3.141352373193207137e-08,2.815402376484924259e-07,3.932317883897396884e-06
2.385460136919760008e-08,2.181300958819952734e-07,3.146641626184699439e-06
1.810530565038657259e-08,1.688157530149287688e-07,2.514243065621356100e-06
1.373536881424129763e-08,1.305123979963261125e-07,2.006045589622163097e-06
1.041592171016225325e-08,1.007978521236946494e-07,1.598307520088163610e-06
7.895864891599545760e-09,7.777337049233720889e-08,1.271682083405697814e-06
5.983669100405801160e-09,5.995290820696639080e-08,1.010434842972989781e-06
4.533379230270033521e-09,4.617521968561153117e-08,8.017939091526616219e-07
3.433866677605972578e-09,3.553422822888715443e-08,6.354117662774836497e-07
2.600587606480879937e-09,2.732397975646485293e-08,5.029206478602980364e-07
1.969271142928400392e-09,2.099521123718250131e-08,3.975660882462483360e-07
1.491091557084242509e-09,1.612114812674858095e-08,3.139056201128358297e-07
1.128979826368005886e-09,1.237061916395377817e-08,2.475616098147552096e-07
8.548087586969346530e-10,9.486960599196496470e-09,1.950189620910350797e-07
6.472469774070309391e-10,7.271491615657516294e-09,1.534599153335801648e-07
4.901243921730297038e-10,5.570591918405474709e-09,1.206294191480621522e-07
3.711883473886566483e-10,4.265612461529389450e-09,9.472566534137299163e-08
2.811578436690035851e-10,3.265010349698575164e-09,7.431125707473136314e-08
